part,area,repo_module,status,test_status,external_trace_status,next_action
ISO11783-1,general-role-boundaries,book/src/reference/role-boundaries.md,complete,standard-suite,none,maintain general_role_boundary_map_names_repo_roles_and_ownership and general_role_boundary_page_links_claims_tests_and_gap_evidence
ISO11783-2,physical-layer-configuration,src/net/can_bus_config.rs;src/ffi.rs;src/python/mod.rs,implemented-needs-standard-tests,standard-suite,missing,maintain physical_layer_c_abi_mirrors_rust_config_validation_before_stack_construction and expand vcan physical adapter evidence
ISO11783-2,physical-layer-adapter-evidence-contract,tests/fixtures/hardware/can_adapter_matrix.txt;book/src/reference/hardware-evidence.md,complete,standard-suite,none,maintain physical_layer_adapter_matrix_is_explicit_and_non_claiming and physical_layer_docs_link_adapter_matrix_to_hardware_evidence_contract
ISO11783-2,physical-layer-sample-point-finiteness,src/net/can_bus_config.rs,complete,standard-suite,none,maintain physical_layer_rejects_non_finite_sample_points_before_compliance_claims
ISO11783-2,physical-layer-sample-point-window-boundary,src/net/can_bus_config.rs,complete,standard-suite,none,maintain physical_layer_accepts_only_the_supported_iso_bus_profile and physical_layer_rejects_sample_points_outside_supported_window_before_runtime_use
ISO11783-2,physical-layer-explicit-bit-timing-consistency,src/net/can_bus_config.rs,complete,standard-suite,none,maintain physical_layer_rejects_inconsistent_explicit_bit_timing_segments
ISO11783-3,data-link-identifiers-and-transport,src/net,implemented-needs-standard-tests,standard-suite,missing,maintain TP ETP transport-state matrix and collect external TP ETP traces
ISO11783-3,data-link-identifier-pdu-boundaries,src/net/identifier.rs,complete,standard-suite,none,maintain datalink_pdu1_identifier_preserves_destination_but_normalizes_pgn datalink_pdu2_identifier_uses_group_extension_not_destination_argument and datalink_identifier_try_encode_rejects_out_of_range_pgn_before_wire_use
ISO11783-3,data-link-priority-public-strict-decoder,src/net/types.rs,complete,standard-suite,none,maintain datalink_priority_public_decoder_rejects_noncanonical_bytes
ISO11783-3,data-link-acknowledgment-control-public-strict-decoder,src/j1939/acknowledgment.rs,complete,standard-suite,none,maintain datalink_acknowledgment_control_public_decoder_rejects_noncanonical_bytes
ISO11783-3,data-link-request-ack-canonical-payloads,src/j1939/pgn_request.rs;src/j1939/acknowledgment.rs,complete,standard-suite,none,maintain datalink_request_rejects_prefix_compatible_garbage datalink_acknowledgement_rejects_invalid_acknowledged_pgn and datalink_utility_control_pgns_reject_non_canonical_payloads
ISO11783-3,data-link-utility-control-pgns,src/j1939/pgn_request.rs;src/j1939/acknowledgment.rs;src/j1939/request2.rs,complete,standard-suite,none,maintain datalink_utility_control_pgns_reject_non_canonical_payloads and datalink_request2_responder_is_source_scoped_and_transfer_wrapped including null destination metadata
ISO11783-3,data-link-utility-full-message-envelope-validation,src/j1939/pgn_request.rs;src/j1939/acknowledgment.rs;src/j1939/request2.rs,complete,standard-suite,none,maintain datalink_utility_full_message_helpers_reject_invalid_envelopes including PGN source and destination binding
ISO11783-3,j1939-time-date-full-message-envelope-validation,src/j1939/time_date.rs,complete,standard-suite,none,maintain datalink_time_date_full_message_helper_rejects_invalid_envelopes including PDU2 destination metadata
ISO11783-3,j1939-proprietary-message-envelope-classifier,src/j1939/proprietary.rs,complete,standard-suite,none,maintain datalink_proprietary_message_helper_rejects_non_proprietary_pgns_and_bad_sources
ISO11783-3,data-link-group-function-carrier-and-responder-policy,src/isobus/group_function.rs,complete,standard-suite,none,maintain datalink_group_function_carrier_and_responder_policy_are_canonical and datalink_group_function_stack_responder_is_destination_scoped_and_loop_safe including invalid source and null destination no-reply checks
ISO11783-3,data-link-group-function-public-error-strict-decoder,src/isobus/group_function.rs,complete,standard-suite,none,maintain datalink_group_function_public_error_decoder_rejects_noncanonical_bytes
ISO11783-3,data-link-transport-abort-public-strict-decoder,src/net/session.rs;src/net/tp.rs;src/net/etp.rs,complete,standard-suite,none,maintain datalink_transport_abort_public_decoder_rejects_noncanonical_bytes
ISO11783-3,tp-rts-window-and-bam-canonical-fields,src/net/tp.rs,complete,standard-suite,none,maintain datalink_tp_rts_packet_window_and_bam_reserved_byte_are_canonical
ISO11783-3,tp-etp-invalid-endpoint-frame-rejection,src/net/tp.rs;src/net/etp.rs,complete,standard-suite,none,maintain datalink_tp_etp_reject_invalid_endpoint_frames_without_session_mutation
