part,feature_area,rust_surface,c_surface,python_surface,decision,evidence,next_action
ISO11783-1,general-role-boundaries,role documentation only,no runtime C API,no runtime Python API,internal-only,standard-suite,maintain role-boundary docs and standard-suite checks
ISO11783-2,physical-layer-configuration,src/net/can_bus_config.rs,machbus_validate_can_bus_config and machbus_enforce_iso_can_config,validate_can_bus_config and enforce_iso_can_config,facade-exposed,standard-suite-and-bindings,maintain Rust C and Python physical config validation parity tests
Bindings,c-abi-version-probe,src/ffi.rs MACHBUS_C_ABI_VERSION,machbus_abi_version,no runtime Python API,internal-only,binding-contract,maintain C ABI v2 probe in Rust tests C examples and docs when exported C surface changes
ISO11783-2,physical-layer-adapter-evidence-contract,hardware adapter evidence metadata,no runtime C API,no runtime Python API,internal-only,standard-suite,maintain adapter evidence matrix checks
ISO11783-2,physical-layer-sample-point-finiteness,CanBusConfig validation,no extra C API,no extra Python API,rust-only,standard-suite,maintain non-finite sample-point rejection test
ISO11783-2,physical-layer-sample-point-window-boundary,CanBusConfig validation,no extra C API,no extra Python API,rust-only,standard-suite,maintain sample-point window boundary tests
ISO11783-2,physical-layer-explicit-bit-timing-consistency,CanBusConfig validation,no extra C API,no extra Python API,rust-only,standard-suite,maintain explicit bit-timing consistency test
ISO11783-3,data-link-identifiers-and-transport,src/net,facade-through-session,facade-through-session,partial-facade,standard-suite-and-bindings,add strict identifier constructor facades only if callers need raw identifiers
ISO11783-3,data-link-tp-etp-transport-state-matrix,TP ETP transport state matrix and standard tests,no extra C API,no extra Python API,internal-only,standard-suite,maintain transport-state matrix coverage test
ISO11783-3,data-link-identifier-pdu-boundaries,Identifier constructors and accessors,no extra C API,no extra Python API,internal-only,standard-suite,maintain PDU1/PDU2 identifier boundary tests
ISO11783-3,data-link-priority-public-strict-decoder,Priority strict public decoder,no extra C API,no extra Python API,rust-only,standard-suite,maintain priority public strict decoder test
ISO11783-3,data-link-acknowledgment-control-public-strict-decoder,AckControl strict public decoder,no extra C API,no extra Python API,rust-only,standard-suite,maintain ACK control public strict decoder test
ISO11783-3,data-link-request-ack-canonical-payloads,Request and Acknowledgment payload codecs,no extra C API,no extra Python API,internal-only,standard-suite,maintain request and acknowledgement canonical payload tests
ISO11783-3,data-link-utility-control-pgns,pgn_request Acknowledgment Request2Msg TransferMsg and Request2Responder,Request2 through the session facade where enabled,Request2 through the session facade where enabled,partial-facade,standard-suite-and-bindings,maintain utility control PGN tests Request2 no-reply invalid-source and null-destination tests plus session facade coverage
ISO11783-3,data-link-utility-full-message-envelope-validation,Request Acknowledgment Request2 and Transfer full-message helpers,no extra C API,no extra Python API,internal-only,standard-suite,maintain utility helper wrong-PGN invalid-source and null-destination test
ISO11783-3,j1939-time-date-full-message-envelope-validation,TimeDate decode validation,no extra C API,no extra Python API,rust-only,standard-suite,maintain TimeDate full-message PGN source and PDU2 destination envelope test
ISO11783-3,j1939-proprietary-message-envelope-classifier,ProprietaryMsg classifier,no extra C API,no extra Python API,rust-only,standard-suite,maintain proprietary message PGN source and destination envelope classifier test
ISO11783-3,data-link-group-function-carrier-and-responder-policy,GroupFunctionMsg and GroupFunctionResponder,session group-function responder where enabled,session group-function responder where enabled,partial-facade,standard-suite-and-bindings,maintain group-function carrier responder-policy invalid-source null-destination and no-loop tests
ISO11783-3,data-link-group-function-public-error-strict-decoder,GroupFunctionError strict public decoder,no extra C API,no extra Python API,rust-only,standard-suite,maintain group-function public error strict decoder test
ISO11783-3,data-link-transport-abort-public-strict-decoder,TransportAbortReason strict public decoder,no extra C API,no extra Python API,rust-only,standard-suite,maintain transport abort public strict decoder test
ISO11783-3,tp-rts-window-and-bam-canonical-fields,TransportProtocol RTS and BAM control-frame builders,no extra C API,no extra Python API,internal-only,standard-suite,maintain RTS window and BAM canonical-field test
ISO11783-3,tp-etp-invalid-endpoint-frame-rejection,TransportProtocol and ExtendedTransportProtocol ingress endpoint validation,no extra C API,no extra Python API,internal-only,standard-suite,maintain invalid endpoint no-mutation transport test
ISO11783-3,tp-etp-single-dt-endpoint-session,TransportProtocol ExtendedTransportProtocol and IsoNet queued admission guards,no extra C API,no extra Python API,internal-only,standard-suite,maintain DT endpoint exclusivity and queued-transmit tests
ISO11783-3,tp-etp-timeout-window-aborts,TransportProtocol and ExtendedTransportProtocol update timeout handling,no extra C API,no extra Python API,internal-only,standard-suite,maintain TP and ETP timeout-window tests
ISO11783-3,tp-auxiliary-timer-session-windows,TransportProtocol auxiliary timer-session API,no extra C API,no extra Python API,internal-only,standard-suite,maintain endpoint validation keepalive T3 and T4 auxiliary timer tests
