object_family,object_type,render_status,draws_directly,resolves_value,interactive,notes
WorkingSet,WorkingSet,reference-resolved,no,yes,no,root container; standard child/macro/language tail selects the active mask and exposes Working Set language codes unless Working Set Special Controls supplies language/country pairs
DataMask,DataMask,drawable,yes,yes,no,main display mask with background and child list; fixed fields respond to generic attributes including the standard NULL Soft Key Mask clear on AID 2
AlarmMask,AlarmMask,drawable,yes,yes,no,priority mask rendered through the mask path; priority/acoustic fixed fields are range-gated; Soft Key Mask AID 2 admits the standard NULL clear; Change Priority updates alarm-ordering metadata
WindowMask,WindowMask,drawable,yes,yes,no,free-form windows use 2x6 cells; width/height/type/options generic attributes are range-gated; changed placements that grow or overlap are removed without moving stable unchanged user-layout mappings including after Lock/Unlock Mask deferral and multiple changed-placement conflicts tie-break by Object ID; user-layout H.20 hide/show records are object-ID sorted before packing; non-NULL Name/Title references are typed to OutputString or ObjectPointer-to-OutputString and non-NULL Icon references are typed to Object Label graphic-representation output objects; transparent available windows preserve underlying user-layout pixels; unavailable windows blank their cells with the user-layout background even when transparent; active or nested typed/free-form windows place children or required-object slots with child drawing clipped to the Window Mask region intersecting object-local OutputList/Animation clips
Container,Container,drawable,yes,yes,no,translated child group; width/height/hidden are Get-Attribute-only/read-only for Change Attribute with Change Size and Hide/Show carrying the runtime mutations
SoftKeyMask,SoftKeyMask,soft-key,no,yes,no,drives the soft-key area with optional physical-key paging clamped navigation reservation host physical-cell one-shot and down/up events plus direct SoftKeyActivate events checked against the visible active scene explicit Commit activation for selected focus-only visible cells semantic activation lowering guarded by visible active cells Key/ObjectPointer/ExternalObjectPointer child resolution including host-registered external Key targets and Key Numbers inactive boundary navigation cells that wait for physical release or focus-only Commit before paging and cannot be overwritten by another pointer tap one-shot physical direct semantic soft-key or direct navigation activation with hardware-origin down state surviving stray pointer move/release events until physical release NULL-slot reservation trailing-NULL page-count trimming and configured vertical-column or horizontal-row cell geometry; ObjectPointer retargets and ExternalObjectPointer default retargets preserve Key/NULL slot constraints; background changes update the mask backing colour
Key,Key,soft-key,no,yes,yes,one soft-key cell with a zero-based physical cell index and resolved Key Number; label resolves child output objects; vertical columns and horizontal rows use configured physical-cell geometry; OutputList selected-Key items materialise as clipped display-only designators instead of unsupported records; default pointer activation enforces one pressed/held soft key at a time until release; pointer slide-off aborts the pressed key; focus-only Commit activates a selected visible Key; physical soft-key down/up emits Pressed/Held/Released or Aborted for hardware profiles; display changes such as active-mask or soft-key-mask changes queue a release for an erased pressed key before ignoring the physical release; only the standard Key AIDs 1..=2 are admitted for generic attributes
KeyGroup,KeyGroup,soft-key,yes,yes,yes,available groups render/place as one-to-four non-overlapping user-layout cells after direct Key/ObjectPointer/ExternalObjectPointer child resolution including host-registered external Key targets and Key Numbers while unresolved external pointer children reserve blank non-activating cells instead of collapsing the slot map; configured vertical-column or horizontal-row geometry drives placement rendering pointer hits and physical-key activation; placement rejects active Soft Key Mask application cells and actually rendered navigation cells after Soft Key Mask child resolution and trailing NULL trimming when the current Soft Key Mask requires paging; stale remembered placements are removed if a later Soft Key Mask claims those cells, changed placements that grow/overlap are removed without moving stable unchanged mappings including after Lock/Unlock Mask deferral, multiple changed-placement conflicts tie-break by Object ID, and exported host snapshots plus H.20 hide/show records are object-ID sorted; Name/Icon references are typed to standard mapping-screen designators; child-label resolution and transparent available groups preserve underlying user-layout pixels while unavailable groups blank/fill remembered cells; pointer taps physical soft-key cells and press/move/release activate contained Key IDs with default one-pressed-key-at-a-time exclusivity and immediate pointer-slide-off aborts; hardware physical-key down/up emits Pressed/Held/Released sequencing for placed cells and ignores stray pointer move/release events until physical release; semantic activation lowering requires visible/enabled group cells; Select Input Object focus-only replay and explicit Commit activation can target visible contained Keys; fixed fields respond to generic attributes; runtime ObjectPointer/ExternalObjectPointer retarget validation preserves Key slot constraints
Button,Button,interactive,yes,yes,yes,inline button resolves child output text into its TextLayout label resolves background/border colours through the active palette honours transparent-background and suppress-border/no-border options carries the resolved Key Number for local or external materialised buttons uses standard option bit 4 for disabled initial state supports pointer activation events with default one-pressed-button-at-a-time exclusivity hardware Enter and explicit Commit activation for focused/selected enabled Buttons aborts when the pointer slides off the pressed button queues a release when a display change erases a pressed button or moves a touch-pressed button away from its touch point and requires visible/enabled scene state for semantic activation lowering
InputBoolean,InputBoolean,interactive,yes,yes,yes,toggle on operator activation; fixed value and enabled fields are Get-Attribute-only/read-only for Change Attribute; geometry and typed FontAttributes/NumberVariable references respond to generic attributes with required foreground FontAttributes AID 3 rejecting NULL; server/runtime Change Numeric Value rejects non-boolean values and Enable/Disable controls runtime enabled state
InputString,InputString,interactive,yes,yes,yes,editable string uses TextLayout with full horizontal/vertical justification; required FontAttributes AID 4 rejects NULL during Change Attribute replay; standard options AID is handled as transparent-background/auto-wrap bits while retaining wrap-on-hyphen as standard option metadata; auto-wrap feeds the command layout; background colour is painted only when non-transparent; runtime-disabled fields ignore taps before focus/open mutation; stale hidden/disabled focused input state clears before type/backspace/commit can emit value events; max length and classic byte-oriented or extended wide-character validation are enforced before edit-buffer mutation and before opening a transaction; hardware characters on non-editable focused objects stay ignored without opening input state; preview vs commit events separated
InputNumber,InputNumber,interactive,yes,yes,yes,editable number uses TextLayout with full horizontal/vertical justification; required FontAttributes AID 4 rejects NULL during Change Attribute replay; finite scale plus standard 0..=7 decimals fixed/exponential format and transparent-background leading-zero zero-as-blank and truncate options affect field fill and formatted text; raw value and Options 2 are Get-Attribute-only/read-only for Change Attribute while reserved decimal/format values are rejected; Options 2 bit 1 controls real-time editing and Enable/Disable overlays bit 0; disabled fields ignore taps before focus/open mutation; host key input accepts only decimal digits before edit-buffer mutation and min/max checks; preview vs real-time value events separated
InputList,InputList,interactive,yes,yes,yes,selected index resolved from value state through accepted Change Numeric Value retention; standard Value AID 4 is Get-Attribute-only/read-only for Change Attribute; upload validation types the NumberVariable reference and non-NULL item slots while preserving NULL placeholders; selected item text resolves through OutputString/OutputNumber/variable/ObjectPointer/ExternalObjectPointer/Container paths using host-registered referenced pools where available and is drawn through TextLayout; selected non-interactive drawable items can materialise as clipped display-value scene nodes while the parent InputList remains the hit target; disabled fields ignore taps before focus/open/list-selection mutation; value 255/out-of-range/NULL slots/unavailable external slots/non-displayable slots stay blank without a diagnostic index/count fallback; operator selection skips true NULL item slots but keeps standard empty ObjectPointer-NULL and hidden-Container items selectable; Change List Item retargets item slots
OutputString,OutputString,drawable,yes,yes,no,resolves inline value or StringVariable including ISO WideString decoding and emits TextLayout with full horizontal/vertical justification; required FontAttributes AID 4 rejects NULL during Change Attribute replay; transparent-background option controls whether the field background colour is painted; Change String Value preserves fixed length with space padding and runtime/pool macro replay rejects invalid UTF-8 before retained text mutation; variable-backed OutputString objects are not implicit Change String Value retargets
OutputNumber,OutputNumber,drawable,yes,yes,no,applies offset finite-scale standard 0..=7 decimals plus the standard fixed/exponential format selector and transparent-background leading-zero zero-as-blank and truncate options; required FontAttributes AID 4 rejects NULL during Change Attribute replay; raw value is Get-Attribute-only/read-only for Change Attribute and changes through Change Numeric Value while reserved decimal/format values are rejected; emits TextLayout with full horizontal/vertical justification
OutputList,OutputList,drawable,yes,yes,no,selected index resolved from inline value or NumberVariable; selected drawable item materialises as a clipped scene node including host-resolved ExternalObjectPointer targets and display-only Key designators; width/height respond to Change Size; standard one-byte Value AID 4 is Get-Attribute-only/read-only for Change Attribute while Change Numeric Value updates the selected item; upload validation Change List Item replay and ObjectPointer retargeting reject item references that cannot be presented and unavailable external items with no local default stay blank; standard no-display item cases stay blank without a diagnostic index/count fallback
OutputLine,Line,drawable,yes,no,no,"line primitive via LineAttributes; line art paintbrush spot patterns are carried to command and framebuffer replay; explicit line width zero suppresses the stroke; Change End Point updates width, height, and direction"
OutputRectangle,Rectangle,drawable,yes,no,no,"fill plus per-edge line suppression; Fill Attributes type 1 fills with the resolved line colour type 2 fills with the fill colour and type 3 tiles PictureGraphic pattern data anchored to the mask origin while ignoring PictureGraphic transparency/flashing options; line art paintbrush spot patterns are carried to command and framebuffer replay"
